Video,Prediction,REAL_prob,FAKE_prob,FFT_score,Lip_score
000 (1).mp4,SUSPICIOUS,0.8812,0.1188,0.3929,0.0
000.mp4,SUSPICIOUS,0.8812,0.1188,0.3929,0.0
001.mp4,REAL,0.9563,0.0437,0.373,0.0
002.mp4,REAL,0.9405,0.0595,0.5037,0.0
003.mp4,FAKE,0.0377,0.9623,0.3622,0.0
004.mp4,REAL,0.9253,0.0747,0.4147,0.0
005.mp4,FAKE,0.0404,0.9596,0.3694,0.0
006.mp4,FAKE,0.056,0.944,0.4338,0.0
008.mp4,UNKNOWN,,,,
009.mp4,FAKE,0.0385,0.9615,0.4108,0.0
010.mp4,REAL,0.9477,0.0523,0.4044,0.0
011.mp4,UNKNOWN,,,,
012.mp4,FAKE,0.056,0.944,0.2991,0.0
013.mp4,SUSPICIOUS,0.6274,0.3726,0.4499,0.0
014.mp4,SUSPICIOUS,0.5839,0.4161,0.5997,0.0
015.mp4,SUSPICIOUS,0.7146,0.2854,0.3266,0.0
016.mp4,UNKNOWN,,,,
017.mp4,REAL,0.9434,0.0566,0.5153,0.0
018.mp4,FAKE,0.0496,0.9504,0.3987,0.3065
019.mp4,FAKE,0.0338,0.9662,0.3892,0.0
020.mp4,SUSPICIOUS,0.8656,0.1344,0.4671,0.0
021.mp4,UNKNOWN,,,,
022.mp4,SUSPICIOUS,0.5119,0.4881,0.365,0.0
023.mp4,SUSPICIOUS,0.4629,0.5371,0.3205,0.0
024.mp4,REAL,0.9528,0.0472,0.5005,0.0
025.mp4,FAKE,0.037,0.963,0.3259,0.052
026.mp4,REAL,0.9588,0.0412,0.3664,0.1045
027.mp4,FAKE,0.0457,0.9543,0.4717,0.0
028.mp4,REAL,0.9075,0.0925,0.3467,0.0
029.mp4,FAKE,0.043,0.957,0.3395,0.2591
030.mp4,FAKE,0.038,0.962,0.5593,0.0
