Video,Prediction,REAL_prob,FAKE_prob
000 (1).mp4,UNKNOWN,NA,NA
000.mp4,UNKNOWN,NA,NA
001.mp4,UNKNOWN,NA,NA
002.mp4,UNKNOWN,NA,NA
003.mp4,UNKNOWN,NA,NA
004.mp4,UNKNOWN,NA,NA
005.mp4,UNKNOWN,NA,NA
006.mp4,UNKNOWN,NA,NA
008.mp4,UNKNOWN,NA,NA
009.mp4,UNKNOWN,NA,NA
010.mp4,UNKNOWN,NA,NA
011.mp4,UNKNOWN,NA,NA
012.mp4,UNKNOWN,NA,NA
013.mp4,UNKNOWN,NA,NA
014.mp4,UNKNOWN,NA,NA
015.mp4,UNKNOWN,NA,NA
016.mp4,UNKNOWN,NA,NA
017.mp4,UNKNOWN,NA,NA
018.mp4,UNKNOWN,NA,NA
019.mp4,UNKNOWN,NA,NA
020.mp4,UNKNOWN,NA,NA
021.mp4,UNKNOWN,NA,NA
022.mp4,UNKNOWN,NA,NA
023.mp4,UNKNOWN,NA,NA
024.mp4,UNKNOWN,NA,NA
025.mp4,UNKNOWN,NA,NA
026.mp4,UNKNOWN,NA,NA
027.mp4,UNKNOWN,NA,NA
028.mp4,UNKNOWN,NA,NA
029.mp4,UNKNOWN,NA,NA
030.mp4,UNKNOWN,NA,NA
