Video,Prediction,REAL_prob,FAKE_prob,FFT_score,Lip_score
000_003.mp4,SUSPICIOUS,0.3934,0.6066,0.3511,0.0
001_870.mp4,FAKE,0.0547,0.9453,0.3497,0.0531
002_006.mp4,FAKE,0.0633,0.9367,0.4547,0.096
003_000.mp4,SUSPICIOUS,0.3028,0.6972,0.3106,0.0
004_982.mp4,REAL (WEAK),0.5019,0.4981,0.3678,0.0
005_010.mp4,FAKE,0.0382,0.9618,0.3184,0.0
006_002.mp4,REAL,0.8806,0.1194,0.3856,0.1991
007_132.mp4,UNKNOWN,,,,
008_990.mp4,UNKNOWN,,,,
009_027.mp4,FAKE,0.0379,0.9621,0.3818,0.3151
010_005.mp4,REAL,0.9056,0.0944,0.3501,0.0
011_805.mp4,UNKNOWN,,,,
012_026.mp4,FAKE,0.0396,0.9604,0.2947,0.0435
013_883.mp4,SUSPICIOUS,0.4483,0.5517,0.4023,0.0851
014_790.mp4,SUSPICIOUS,0.4989,0.5011,0.5766,0.0
015_919.mp4,FAKE,0.03,0.97,0.3044,0.2442
016_209.mp4,UNKNOWN,,,,
017_803.mp4,SUSPICIOUS,0.1544,0.8456,0.4547,0.0
018_019.mp4,FAKE,0.0407,0.9593,0.3657,0.3721
019_018.mp4,FAKE,0.0435,0.9565,0.3391,0.2386
020_344.mp4,FAKE,0.0614,0.9386,0.4258,0.0
021_312.mp4,UNKNOWN,,,,
022_489.mp4,FAKE,0.0859,0.9141,0.3316,0.0986
